tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,regular_loss,naughty_loss
5504, 155, 50, 0.987500, 1, 100, 0.030057, 1.675520
5536, 155, 50, 0.987500, 1, 100, 0.029490, 1.673334
5568, 155, 50, 0.987500, 1, 100, 0.029457, 1.674692
5600, 155, 50, 0.987500, 1, 100, 0.029238, 1.678284
5632, 155, 50, 0.987500, 1, 100, 0.030552, 1.672728
5664, 155, 50, 0.987500, 1, 100, 0.026705, 1.675536
5696, 155, 50, 0.987500, 1, 100, 0.028097, 1.677124
5728, 155, 50, 0.987500, 1, 100, 0.028889, 1.678651
5760, 155, 50, 0.987500, 1, 100, 0.036330, 1.668370
5792, 155, 50, 0.987500, 1, 100, 0.028041, 1.676832
5824, 155, 50, 0.987500, 1, 100, 0.028417, 1.675799
5856, 155, 50, 0.987500, 1, 100, 0.027694, 1.682254
5888, 155, 50, 0.987500, 1, 100, 0.028846, 1.675470
5920, 155, 50, 0.987500, 1, 100, 0.028632, 1.674275
5952, 155, 50, 0.987500, 1, 100, 0.026413, 1.676744
5984, 155, 50, 0.987500, 1, 100, 0.025869, 1.676648
6016, 155, 50, 0.987500, 1, 100, 0.034599, 1.675466
6048, 155, 50, 0.987500, 1, 100, 0.025148, 1.677495
6080, 155, 50, 0.987500, 1, 100, 0.029148, 1.673457
6112, 155, 50, 0.987500, 1, 100, 0.025513, 1.677212
6144, 155, 50, 0.987500, 1, 100, 0.027223, 1.675934
6176, 155, 50, 0.987500, 1, 100, 0.029844, 1.674399
6208, 155, 50, 0.987500, 1, 100, 0.027602, 1.671241
6240, 155, 50, 0.987500, 1, 100, 0.025216, 1.678069
6272, 155, 50, 0.987500, 1, 100, 0.029478, 1.674003
6304, 155, 50, 0.987500, 1, 100, 0.028875, 1.674754
6336, 155, 50, 0.987500, 1, 100, 0.024576, 1.676347
6368, 155, 50, 0.987500, 1, 100, 0.023561, 1.677066
6400, 155, 50, 0.987500, 1, 100, 0.026019, 1.682394
6432, 155, 50, 0.987500, 1, 100, 0.029044, 1.675510
6464, 155, 50, 0.987500, 1, 100, 0.023415, 1.684829
6496, 155, 50, 0.987500, 1, 100, 0.028234, 1.676524
6528, 155, 50, 0.987500, 1, 100, 0.025576, 1.677504
6560, 155, 50, 0.987500, 1, 100, 0.024485, 1.679602
6592, 155, 50, 0.987500, 1, 100, 0.025353, 1.684808
6624, 155, 50, 0.987500, 1, 100, 0.025937, 1.679482
6656, 155, 50, 0.987500, 1, 100, 0.025038, 1.679044
6688, 155, 50, 0.987500, 1, 100, 0.025837, 1.675267
6720, 155, 50, 0.987500, 1, 100, 0.026125, 1.679793
6752, 155, 50, 0.987500, 1, 100, 0.026575, 1.679225
6784, 155, 50, 0.987500, 1, 100, 0.033354, 1.679342
6816, 155, 50, 0.987500, 1, 100, 0.025479, 1.678041
6848, 155, 50, 0.987500, 1, 100, 0.026319, 1.676228
6880, 155, 50, 0.987500, 1, 100, 0.024077, 1.680544
6912, 155, 50, 0.987500, 1, 100, 0.023218, 1.684026
6944, 155, 50, 0.987500, 1, 100, 0.025129, 1.677522
6976, 155, 50, 0.987500, 1, 100, 0.023385, 1.676914
7008, 155, 50, 0.987500, 1, 100, 0.022593, 1.677711
7040, 155, 50, 0.987500, 1, 100, 0.022945, 1.683092
7072, 155, 50, 0.987500, 1, 100, 0.023946, 1.678990
7104, 155, 50, 0.987500, 1, 100, 0.025713, 1.678322
7136, 155, 50, 0.987500, 1, 100, 0.025318, 1.683102
7168, 155, 50, 0.987500, 1, 100, 0.025751, 1.678223
7200, 155, 50, 0.987500, 1, 100, 0.023262, 1.678166
7232, 155, 50, 0.987500, 1, 100, 0.025125, 1.680245
7264, 155, 50, 0.987500, 1, 100, 0.025587, 1.682506
7296, 155, 50, 0.987500, 1, 100, 0.022581, 1.683440
7328, 155, 50, 0.987500, 1, 100, 0.023849, 1.679930
7360, 155, 50, 0.987500, 1, 100, 0.022878, 1.680449
7392, 155, 50, 0.987500, 1, 100, 0.024483, 1.681005
7424, 155, 50, 0.987500, 1, 100, 0.022798, 1.680703
7456, 155, 50, 0.987500, 1, 100, 0.025344, 1.676160
7488, 155, 50, 0.987500, 1, 100, 0.021796, 1.686182
