tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
34816, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.021416, 0.731820, 0.022605, 2.018945
36864, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.021173, 0.739692, 0.022392, 2.022753
38912, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.020840, 0.747420, 0.022145, 2.032535
40960, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.019581, 0.735546, 0.020868, 2.015038
43008, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.020085, 0.764045, 0.021426, 2.049612
45056, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.018546, 0.754742, 0.019762, 2.045348
47104, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.017299, 0.744203, 0.018420, 2.029398
49152, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.017297, 0.739035, 0.018535, 2.021664
51200, 155, 50, 0.500000, 0.500000, 10, 100, 1.009000, 0.016141, 0.743259, 0.017492, 2.027654
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.010000, 0.340192, 0.374751, 0.341359, 1.667217
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.010000, 0.175281, 0.500673, 0.176446, 1.794965
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.010000, 0.111636, 0.563794, 0.112860, 1.848100
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.010000, 0.079288, 0.571209, 0.080446, 1.857433
