tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,average_loss_pure,average_loss_all
12288, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.828343, 1.463729
12800, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.833638, 1.469433
13312, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.826504, 1.464490
13824, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.828064, 1.467860
14336, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.833373, 1.474318
14848, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.838598, 1.475646
15360, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.824389, 1.461321
15872, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.832033, 1.471097
16384, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.825539, 1.462694
16896, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.820259, 1.455881
17408, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.834386, 1.473035
17920, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.834648, 1.472225
18432, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.835490, 1.475105
18944, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.825797, 1.464945
19456, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.830079, 1.469003
19968, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.826811, 1.465106
20480, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.827584, 1.467488
20992, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.826809, 1.464244
21504, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.820144, 1.456098
22016, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.821667, 1.456641
22528, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.828838, 1.464231
23040, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.822479, 1.458575
23552, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.821530, 1.461036
24064, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.827315, 1.464874
24576, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.820191, 1.456309
25088, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.831472, 1.468092
25600, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.831319, 1.469997
26112, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.832767, 1.472480
26624, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.827233, 1.463299
27136, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.831307, 1.469524
27648, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.826800, 1.464921
28160, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.828764, 1.470945
28672, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.830778, 1.469403
29184, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.824618, 1.458806
29696, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.809573, 1.445134
30208, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.832260, 1.469837
30720, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.820006, 1.456974
31232, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.822078, 1.459911
31744, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.820712, 1.455568
32256, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.827259, 1.465336
32768, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.818180, 1.455324
33280, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.825831, 1.462799
33792, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.816501, 1.453158
34304, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.825555, 1.468194
34816, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.823572, 1.460356
35328, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.826816, 1.462265
35840, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.824674, 1.459963
36352, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.824765, 1.465100
36864, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.824190, 1.462188
37376, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.825839, 1.464238
37888, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.821963, 1.459292
38400, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.822014, 1.457308
38912, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.825545, 1.465415
39424, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.821008, 1.455741
39936, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.821832, 1.458728
40448, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.814485, 1.450482
40960, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.827013, 1.462555
41472, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.828420, 1.467882
41984, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.824847, 1.460172
42496, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.826599, 1.463834
43008, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.824081, 1.460619
43520, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.825704, 1.462591
44032, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.822837, 1.458144
44544, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.817144, 1.456024
45056, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.822143, 1.459837
45568, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.823675, 1.461682
46080, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.822052, 1.461974
46592, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.824030, 1.459827
47104, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.826845, 1.465024
