tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
42752, 155, 50, 0.500000, 0.500000, 10, 100, 0.048937, 2.101858, 0.050193, 3.364795
43008, 155, 50, 0.500000, 0.500000, 10, 100, 0.049120, 2.111288, 0.050339, 3.380833
43264, 155, 50, 0.500000, 0.500000, 10, 100, 0.049794, 2.125473, 0.050931, 3.396926
43520, 155, 50, 0.500000, 0.500000, 10, 100, 0.048828, 2.113504, 0.050004, 3.381305
43776, 155, 50, 0.500000, 0.500000, 10, 100, 0.048488, 2.104092, 0.049744, 3.375332
44032, 155, 50, 0.500000, 0.500000, 10, 100, 0.049050, 2.093784, 0.050195, 3.360392
44288, 155, 50, 0.500000, 0.500000, 10, 100, 0.047989, 2.112840, 0.049255, 3.383092
44544, 155, 50, 0.500000, 0.500000, 10, 100, 0.047199, 2.110608, 0.048457, 3.376232
44800, 155, 50, 0.500000, 0.500000, 10, 100, 0.048159, 2.122692, 0.049370, 3.392995
45056, 155, 50, 0.500000, 0.500000, 10, 100, 0.047201, 2.122409, 0.048467, 3.393023
45312, 155, 50, 0.500000, 0.500000, 10, 100, 0.047184, 2.097315, 0.048449, 3.363507
45568, 155, 50, 0.500000, 0.500000, 10, 100, 0.047937, 2.117515, 0.049224, 3.389724
45824, 155, 50, 0.500000, 0.500000, 10, 100, 0.046279, 2.108137, 0.047447, 3.372340
46080, 155, 50, 0.500000, 0.500000, 10, 100, 0.046067, 2.101768, 0.047259, 3.368998
46336, 155, 50, 0.500000, 0.500000, 10, 100, 0.044790, 2.094272, 0.045926, 3.364424
46592, 155, 50, 0.500000, 0.500000, 10, 100, 0.045908, 2.106063, 0.047172, 3.376369
46848, 155, 50, 0.500000, 0.500000, 10, 100, 0.046652, 2.111448, 0.047884, 3.382822
47104, 155, 50, 0.500000, 0.500000, 10, 100, 0.045847, 2.105791, 0.047111, 3.371344
47360, 155, 50, 0.500000, 0.500000, 10, 100, 0.045278, 2.110695, 0.046527, 3.377595
47616, 155, 50, 0.500000, 0.500000, 10, 100, 0.044756, 2.104276, 0.045883, 3.374074
47872, 155, 50, 0.500000, 0.500000, 10, 100, 0.044346, 2.101282, 0.045627, 3.366314
48128, 155, 50, 0.500000, 0.500000, 10, 100, 0.046849, 2.117375, 0.048089, 3.379288
48384, 155, 50, 0.500000, 0.500000, 10, 100, 0.044320, 2.100896, 0.045578, 3.366366
48640, 155, 50, 0.500000, 0.500000, 10, 100, 0.045203, 2.115927, 0.046350, 3.383968
48896, 155, 50, 0.500000, 0.500000, 10, 100, 0.042970, 2.091564, 0.044242, 3.362513
49152, 155, 50, 0.500000, 0.500000, 10, 100, 0.045656, 2.117208, 0.046828, 3.380022
49408, 155, 50, 0.500000, 0.500000, 10, 100, 0.043205, 2.102115, 0.044437, 3.367720
49664, 155, 50, 0.500000, 0.500000, 10, 100, 0.045104, 2.114164, 0.046280, 3.379378
49920, 155, 50, 0.500000, 0.500000, 10, 100, 0.042956, 2.098308, 0.044173, 3.363853
50176, 155, 50, 0.500000, 0.500000, 10, 100, 0.044363, 2.120731, 0.045640, 3.392339
50432, 155, 50, 0.500000, 0.500000, 10, 100, 0.044222, 2.106253, 0.045474, 3.373762
50688, 155, 50, 0.500000, 0.500000, 10, 100, 0.043515, 2.100912, 0.044774, 3.371155
50944, 155, 50, 0.500000, 0.500000, 10, 100, 0.043618, 2.108076, 0.044853, 3.373811
51200, 155, 50, 0.500000, 0.500000, 10, 100, 0.042526, 2.098291, 0.043771, 3.364553
