tau,regular_loss,naughty_loss
3360, 1.070936, 1.119059
3360, 1.322877, 1.189625
3392, 0.302158, 1.588303
3392, 0.898883, 1.139461
3392, 1.071460, 1.121461
3392, 1.354919, 1.233395
3424, 0.290198, 1.591374
3424, 0.898042, 1.149790
3424, 1.068094, 1.115785
3424, 1.304920, 1.183276
3456, 0.278308, 1.606562
3456, 0.879557, 1.145084
3456, 1.077420, 1.130908
3456, 1.289576, 1.156898
3488, 0.272692, 1.603453
3488, 0.881775, 1.137766
3488, 1.061425, 1.119124
3488, 1.348900, 1.218659
3520, 0.299904, 1.585951
3520, 0.882082, 1.157667
3520, 1.065189, 1.128748
3520, 1.339190, 1.216010
3552, 0.271082, 1.618515
3552, 0.881294, 1.155540
3552, 1.062569, 1.114437
3552, 1.337895, 1.194621
3584, 0.298813, 1.579054
3584, 0.811631, 1.188056
3584, 1.059577, 1.128740
3584, 1.332811, 1.216970
3616, 0.286078, 1.590742
3616, 0.848475, 1.182125
3616, 1.068737, 1.130064
3616, 1.318688, 1.197354
3648, 0.286532, 1.603943
3648, 0.824705, 1.183049
3648, 1.073446, 1.140865
3648, 1.336270, 1.217013
3680, 0.286765, 1.586758
3680, 0.884902, 1.131758
3680, 1.050851, 1.121758
3680, 1.315204, 1.198195
3712, 0.289691, 1.589651
3712, 0.803370, 1.205944
3712, 1.047330, 1.128382
3712, 1.316535, 1.192376
3744, 0.280894, 1.597195
3744, 0.870882, 1.137823
3744, 1.052063, 1.121371
3744, 1.280173, 1.166526
3776, 0.271317, 1.601787
3776, 0.830000, 1.199463
3776, 1.067865, 1.143383
3776, 1.331000, 1.215175
3808, 0.297844, 1.585366
3808, 0.771070, 1.244644
3808, 1.043433, 1.122265
3808, 1.343427, 1.228280
3840, 0.274709, 1.617188
3840, 0.770076, 1.219725
3840, 1.053926, 1.141373
3840, 1.320907, 1.205469
3872, 0.267207, 1.616859
3872, 0.810066, 1.215979
3872, 1.030767, 1.113115
3872, 1.359760, 1.235041
3904, 0.270782, 1.610392
3904, 0.763965, 1.237928
3904, 1.040533, 1.123512
3904, 1.316729, 1.200610
3936, 0.275625, 1.605018
3936, 0.790149, 1.214976
3936, 1.056643, 1.140521
3936, 1.341903, 1.211111
3968, 0.259563, 1.612018
3968, 0.754755, 1.257812
3968, 1.040944, 1.137133
