tau, regular_loss, naughty_loss
1618944, 0.000000, 0.094269
1619968, 0.000000, 0.086149
1620992, 0.000000, 0.058983
1622016, 0.000000, 0.078244
1623040, 0.000000, 0.138448
1624064, 0.000000, 0.072502
1625088, 0.000000, 0.120414
1626112, 0.000000, 0.073222
1627136, 0.000000, 0.078537
1628160, 0.000000, 0.071335
1629184, 0.000000, 0.091380
1630208, 0.000000, 0.070613
1631232, 0.000000, 0.069265
1632256, 0.000000, 0.060913
1633280, 0.000000, 0.057616
1634304, 0.000000, 0.063245
1635328, 0.000000, 0.044268
1636352, 0.000000, 0.089066
1637376, 0.000000, 0.069623
1638400, 0.000000, 0.046519
1639424, 0.000000, 0.081489
1640448, 0.000000, 0.065323
1641472, 0.000000, 0.075006
1642496, 0.000000, 0.053989
1643520, 0.000000, 0.117410
1644544, 0.000000, 0.042849
1645568, 0.000000, 0.110600
1646592, 0.000000, 0.142420
1647616, 0.000000, 0.097409
1648640, 0.000000, 0.057315
1649664, 0.000000, 0.078427
1650688, 0.000000, 0.154658
1651712, 0.000000, 0.060450
1652736, 0.000000, 0.064936
1653760, 0.000000, 0.064611
1654784, 0.000000, 0.096550
1655808, 0.000000, 0.056407
1656832, 0.000000, 0.095307
1657856, 0.000000, 0.049543
1658880, 0.000000, 0.073858
1659904, 0.000000, 0.094097
1660928, 0.000000, 0.044772
1661952, 0.000000, 0.101730
1662976, 0.000000, 0.102533
1664000, 0.000000, 0.060140
1665024, 0.000000, 0.161219
1666048, 0.000000, 0.053322
1667072, 0.000000, 0.092712
1668096, 0.000000, 0.103609
1669120, 0.000000, 0.123448
1670144, 0.000000, 0.098025
1671168, 0.000000, 0.083868
1672192, 0.000000, 0.070451
1673216, 0.000000, 0.052002
1674240, 0.000000, 0.055864
1675264, 0.000000, 0.058496
1676288, 0.000000, 0.120335
1677312, 0.000000, 0.050814
1678336, 0.000000, 0.053184
1679360, 0.000000, 0.103829
1680384, 0.000000, 0.063671
1681408, 0.000000, 0.096351
1682432, 0.000000, 0.125663
1683456, 0.000000, 0.056801
1684480, 0.000000, 0.074479
1685504, 0.000000, 0.041702
1686528, 0.000000, 0.101437
1687552, 0.000000, 0.065199
1688576, 0.000000, 0.113148
1689600, 0.000000, 0.134012
1690624, 0.000000, 0.081128
1691648, 0.000000, 0.095774
1692672, 0.000000, 0.097756
1693696, 0.000000, 0.076669
1694720, 0.000000, 0.052973
1695744, 0.000000, 0.062464
1696768, 0.000000, 0.065933
1697792, 0.000000, 0.061807
1698816, 0.000000, 0.146792
1699840, 0.000000, 0.045981
1700864, 0.000000, 0.064054
1701888, 0.000000, 0.074997
1702912, 0.000000, 0.063885
1703936, 0.000000, 0.042854
1704960, 0.000000, 0.070270
1705984, 0.000000, 0.084416
1707008, 0.000000, 0.083621
1708032, 0.000000, 0.098712
1709056, 0.000000, 0.138399
1710080, 0.000000, 0.077284
1711104, 0.000000, 0.062467
1712128, 0.000000, 0.074085
1713152, 0.000000, 0.053254
1714176, 0.000000, 0.061551
1715200, 0.000000, 0.068402
1716224, 0.000000, 0.116025
1717248, 0.000000, 0.037342
1718272, 0.000000, 0.088251
1719296, 0.000000, 0.073931
1720320, 0.000000, 0.075039
1721344, 0.000000, 0.106738
1722368, 0.000000, 0.047070
1723392, 0.000000, 0.065642
1724416, 0.000000, 0.081160
1725440, 0.000000, 0.058691
1726464, 0.000000, 0.046397
1727488, 0.000000, 0.090838
1728512, 0.000000, 0.083299
1729536, 0.000000, 0.062602
1730560, 0.000000, 0.095960
1731584, 0.000000, 0.099997
1732608, 0.000000, 0.078647
1733632, 0.000000, 0.088475
1734656, 0.000000, 0.125587
1735680, 0.000000, 0.094136
1736704, 0.000000, 0.077443
1737728, 0.000000, 0.067137
1738752, 0.000000, 0.132717
1739776, 0.000000, 0.098763
1740800, 0.000000, 0.079440
1741824, 0.000000, 0.112059
1742848, 0.000000, 0.082475
1743872, 0.000000, 0.101215
1744896, 0.000000, 0.131037
1745920, 0.000000, 0.054466
1746944, 0.000000, 0.073283
1747968, 0.000000, 0.054780
1748992, 0.000000, 0.100058
1750016, 0.000000, 0.080588
1751040, 0.000000, 0.075428
1752064, 0.000000, 0.047174
1753088, 0.000000, 0.118117
1754112, 0.000000, 0.042701
1755136, 0.000000, 0.082864
1756160, 0.000000, 0.098318
1757184, 0.000000, 0.077832
1758208, 0.000000, 0.076926
1759232, 0.000000, 0.100769
1760256, 0.000000, 0.062122
1761280, 0.000000, 0.110306
1762304, 0.000000, 0.046009
1763328, 0.000000, 0.097132
1764352, 0.000000, 0.108038
1765376, 0.000000, 0.110163
1766400, 0.000000, 0.093548
1767424, 0.000000, 0.039470
1768448, 0.000000, 0.077679
1769472, 0.000000, 0.081645
1770496, 0.000000, 0.096601
1771520, 0.000000, 0.065272
1772544, 0.000000, 0.129008
1773568, 0.000000, 0.075246
1774592, 0.000000, 0.096816
1775616, 0.000000, 0.046604
1776640, 0.000000, 0.106658
1777664, 0.000000, 0.108325
1778688, 0.000000, 0.050225
1779712, 0.000000, 0.089450
1780736, 0.000000, 0.059796
1781760, 0.000000, 0.076863
1782784, 0.000000, 0.065081
1783808, 0.000000, 0.108625
1784832, 0.000000, 0.061227
1785856, 0.000000, 0.106692
1786880, 0.000000, 0.061902
1787904, 0.000000, 0.107032
1788928, 0.000000, 0.072507
1789952, 0.000000, 0.046622
1790976, 0.000000, 0.109994
1792000, 0.000000, 0.133544
1793024, 0.000000, 0.104835
1794048, 0.000000, 0.141297
1795072, 0.000000, 0.043478
1796096, 0.000000, 0.085356
1797120, 0.000000, 0.074292
1798144, 0.000000, 0.106268
1799168, 0.000000, 0.071620
1800192, 0.000000, 0.069563
1801216, 0.000000, 0.098838
1802240, 0.000000, 0.131880
1803264, 0.000000, 0.054416
1804288, 0.000000, 0.079937
1805312, 0.000000, 0.082211
1806336, 0.000000, 0.069501
1807360, 0.000000, 0.070180
1808384, 0.000000, 0.047616
1809408, 0.000000, 0.076111
1810432, 0.000000, 0.101350
1811456, 0.000000, 0.077862
1812480, 0.000000, 0.075975
1813504, 0.000000, 0.054648
1814528, 0.000000, 0.111688
1815552, 0.000000, 0.102642
1816576, 0.000000, 0.094320
1817600, 0.000000, 0.129563
1818624, 0.000000, 0.173171
